,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
10,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,Starboy,album,18,269186,False,18,0,4,0.773,0.8190000000000001,0,-5.946000000000001,0.11800000000000001,0.426,0.0,0.0679,0.585,92.99,10.0
11,6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,album,9,225983,False,1,1,4,0.818,0.8029999999999999,1,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,12.0
12,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),bloom,album,13,239293,False,10,1,4,0.6970000000000001,0.691,2,-4.757,0.146,0.214,0.0,0.185,0.305,137.85299999999998,7.0
13,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),Savage Mode,album,9,258880,True,3,1,4,0.835,0.413,1,-9.81,0.396,0.373,0.00133,0.10099999999999999,0.111,149.004,14.0
14,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",I Don’t Wanna Live Forever (Fifty Shades Darker),single,1,245200,False,1,1,4,0.735,0.451,0,-8.374,0.0585,0.0631,1.3000000000000001e-05,0.325,0.0862,117.973,3.0
15,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Don't Wanna Know,single,1,214480,False,1,1,4,0.7829999999999999,0.623,7,-6.126,0.08,0.33799999999999997,0.0,0.0975,0.447,100.04799999999999,12.0
16,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),single,1,177184,True,1,1,4,0.8859999999999999,0.42700000000000005,6,-10.027999999999999,0.145,0.0312,0.00099,0.0906,0.23,108.03399999999999,17.0
17,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,4 Your Eyez Only,album,10,264746,True,3,1,4,0.657,0.42100000000000004,9,-11.378,0.41200000000000003,0.35200000000000004,0.000218,0.187,0.18100000000000002,174.063,13.0
18,7JYsArznYOjX2jsrT3UEnL,OOOUUU,Herstory,album,7,234649,True,7,1,4,0.635,0.847,7,-3.1519999999999997,0.447,0.5329999999999999,0.0,0.154,0.568,166.072,19.0
19,4F7A0DXBrmUAkp32uenhZt,Party Monster,Starboy,album,18,249213,True,2,1,4,0.5720000000000001,0.631,1,-8.389,0.10400000000000001,0.188,2.3100000000000002e-05,0.259,0.21899999999999997,77.51899999999999,20.0
20,0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),Coloring Book,album,14,304606,True,2,0,4,0.652,0.795,11,-5.192,0.174,0.156,0.0,0.12300000000000001,0.7879999999999999,135.018,12.0
21,4gmmRb6bZJffOOiww1JGTO,No Heart,Savage Mode,album,9,235040,True,2,0,4,0.9059999999999999,0.444,4,-8.692,0.384,0.136,6.440000000000001e-05,0.17300000000000001,0.6779999999999999,140.063,19.0
22,1qOLh0tI7trd1zdDKxYZTe,Starving,HAIZ,single,6,181880,True,6,1,4,0.636,0.633,4,-4.23,0.126,0.371,0.0,0.102,0.512,99.721,17.0
23,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,The Chainsmokers- Japan Special Edition,album,7,208053,False,6,1,4,0.542,0.8590000000000001,11,-5.651,0.19699999999999998,0.16,0.00466,0.13699999999999998,0.40299999999999997,159.797,24.0
